Cód Município,Tp Empresa,Nat Jurídica,Pop Total,Perdas Fat,Perdas Dist,Tarifa méd,Ext rede água,Ext rede esgotos,Empregados,Código do município,Município,UF,Empresa,At Água,At Esgoto,Novas Lig Água,Novas Lig Esgoto,Ev Perdas Fat,Ev Perdas Dist,Esg Tratado,Investimento,Eficiencia_DEA
411990,Pública,SEMAPriv,341130,23.78,40.29,3.43,1415.93,1535.96,2560,411990,Ponta Grossa,PR,SANEPAR,100.0,99.99,99.68,100.0,0.0,0.0,86.71,109.16,100.0
261110,Pública,SEMAPubl,337683,22.39,39.97,3.41,734.35,535.35,940,261110,Petrolina,PE,COMPESA,100.0,96.19,100.0,23.83,4.94,9.19,67.81,159.93,100.0
140010,Pública,SEMAPubl,326419,66.47,65.99,2.56,1400.23,794.93,4290,140010,Boa Vista,RR,CAER,100.0,58.0,74.25,8.41,0.0,0.0,69.3,382.67,93.08
315460,Pública,SEMAPubl,325846,49.09,49.8,3.57,1054.22,639.04,1370,315460,Ribeirão das Neves,MG,COPASA,85.6,67.85,2.01,6.64,0.0,0.68,19.37,149.39,69.41
261070,Pública,SEMAPubl,325590,54.98,67.92,2.69,1260.57,544.39,730,261070,Paulista,PE,COMPESA,97.4,50.2,59.39,2.4,0.0,0.0,41.05,72.67,100.0
317010,Pública,Autarquia,325279,22.08,30.33,2.25,1429.57,1404.6,6330,317010,Uberaba,MG,CODAU,100.0,99.5,95.58,100.0,10.81,9.17,60.79,136.78,100.0
410480,Pública,SEMAPriv,316226,20.48,33.53,3.54,1348.38,1336.88,3030,410480,Cascavel,PR,SANEPAR,100.0,100.0,99.45,100.0,5.35,3.05,94.57,175.92,96.95
351870,Pública,SEMAPubl,313421,36.75,48.69,3.31,772.88,423.98,1800,351870,Guarujá,SP,SABESP,82.0,64.4,6.73,9.79,2.08,4.99,63.77,240.18,85.32
355410,Pública,SEMAPubl,305174,25.04,35.96,2.91,891.8,606.85,1650,355410,Taubaté,SP,SABESP,100.0,99.17,100.0,68.75,7.81,6.68,91.11,62.53,100.0
354100,Pública,SEMAPubl,304705,-7.51,29.85,2.75,976.2,613.82,1560,354100,Praia Grande,SP,SABESP,91.7,70.52,18.06,17.05,430.86,0.0,65.91,495.73,100.0
412550,Pública,SEMAPriv,302759,24.99,37.25,3.66,1285.01,758.23,600,412550,São José dos Pinhais,PR,SANEPAR,100.0,75.29,99.62,8.95,0.0,0.0,63.96,110.52,-5425.94
352690,Privada,Privada,298701,10.35,15.57,3.14,1170.0,1029.0,2130,352690,Limeira,SP,BRK,100.0,100.0,27.89,58.7,4.23,2.35,100.0,82.07,100.0
330390,Privada,Privada,298158,9.06,32.36,4.47,765.0,277.0,3190,330390,Petrópolis,RJ,CAI,95.6,87.24,65.66,36.75,51.23,0.0,100.0,54.46,100.0
150680,Pública,SEMAPubl,294447,38.21,46.99,2.12,361.0,31.0,840,150680,Santarém,PA,COSANPA / PMS,71.5,5.86,9.41,4.38,0.0,0.0,1.39,206.06,100.0
290570,Pública,SEMAPubl,292074,42.22,54.76,4.25,1069.92,138.96,1370,290570,Camaçari,BA,EMBASA,100.0,35.48,100.0,12.92,7.93,3.12,17.59,160.88,100.0
240800,Pública,SEMAPubl,291937,48.61,56.81,3.62,400.09,211.67,2250,240800,Mossoró,RN,CAERN,100.0,48.96,39.79,1.18,6.6,0.0,42.83,163.06,100.0
355250,Pública,SEMAPubl,288056,14.31,32.2,3.53,874.5,610.3,1290,355250,Suzano,SP,SABESP,100.0,93.28,100.0,29.99,0.0,0.0,54.02,139.32,89.47
172100,Privada,Privada,279856,28.31,13.05,4.68,1748.44,1120.24,2760,172100,Palmas,TO,SANEATINS,97.0,67.62,56.38,28.53,8.5,69.35,35.9,276.7,100.0
312770,Pública,Autarquia,279665,44.27,48.55,2.61,730.23,705.05,4250,312770,Governador Valadares,MG,SAAE,99.7,97.73,82.18,63.59,0.0,10.05,0.0,65.37,100.0
431690,Pública,SEMAPubl,277309,46.47,46.14,5.51,876.46,240.34,1630,431690,Santa Maria,RS,CORSAN,100.0,59.87,21.63,6.8,0.0,0.0,62.35,59.56,100.0
355280,Pública,SEMAPubl,275948,20.37,35.49,3.16,414.21,307.34,960,355280,Taboão da Serra,SP,SABESP,100.0,90.0,100.0,34.62,0.0,0.0,30.57,43.81,100.0
430920,Pública,SEMAPubl,273742,56.42,55.59,6.55,700.62,244.8,960,430920,Gravataí,RS,CORSAN,100.0,29.23,25.38,2.6,2.63,0.0,13.59,46.13,100.0
510840,Pública,Autarquia,271339,60.7,60.7,1.86,1163.1,136.5,2850,510840,Várzea Grande,MT,MUNICÍPIO,97.0,29.73,19.46,1.24,2.41,3.12,35.39,0.0,117.59
