;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;RANKING DO SANEAMENTO BÁSICO - 100 MAIORES CIDADES (SNIS 2016);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código do município;Município;UF;Ranking 2018;Ranking 2017;Delta;População Total (IBGE);Operador;Indicador de atendimento total de água (%);Nota atendimento total de água (máx. 0,5);Indicador de atendimento urbano de água (%);Nota atendimento urbano de água (máx. 0,5);Indicador de atendimento total de esgoto (%);Nota atendimento total de esgoto (máx. 1,25);Indicador de atendimento urbano de esgoto (%);Nota atendimento urbano de esgoto (máx. 1,25);Indicador de esgoto tratado por água consumida (%);Nota esgoto tratato por água consumida (máx. 2,5);Investimento 5 anos (Milhões R$);Arrecadação 5 anos (Milhões R$);Indicador de investimento/arrecadação (%);Nota investimento/receita (máx. 1);Novas ligações água;Ligações faltantes para universalização;Indicador novas ligações de água/ligações faltantes (%);Nota novas ligações água/ligações faltantes (máx 0,5);Novas ligações esgoto;Ligações faltantes para universalização;Indicador novas ligações de esgoto/ligações faltantes (%);Nota novas ligações esgoto/ligações faltantes (máx. 1);Indicador perdas no faturamento 2016 (%);Nota perdas no faturamento (máx. 0,5);Indicador perdas no faturamento 2015 (%);Indicador evolução nas perdas de faturamento (%);Nota evolução nas perdas de faturamento (máx. 0,25);Indicador perdas na distribuição 2016 (%);Nota perdas na distribuição (máx. 0,5);Indicador perdas na distribuição 2015 (%);Indicador evolução nas perdas de distribuição (%);Nota evolução nas perdas na distribuição (máx. 0,25);Nota Total (máx. 10);Tarifa média (R$/m³);;;;;;;;;;;;;;;
250400;Campina Grande;PB;11;18;7; 	407.754 ;CAGEPA;99,98;0,50;100,00;0,50;89,51;1,14;93,90;1,20;99,89;2,28;23,88;570,06;4,19;0,09; 	16.394 ; 	16.432 ;99,77;0,50; 	2.894 ; 	12.510 ; 	23,13 ;1,00;-1,89;0,50;9,64;119,60;0,25;24,53;0,31;30,69;20,09;0,25;8,52;3,31;;;;;;;;;;;;;;;
354850;Santos;SP;12;4;-8; 	434.359 ;SABESP;99,99;0,50;100,00;0,50;99,88;1,25;99,95;1,25;97,63;2,50;108,45;1330,70;8,15;0,18; 	682 ; 	691 ;98,70;0,49; 	671 ; 	671 ; 	100,00 ;1,00;18,73;0,40;17,77;0,00;0,00;17,25;0,43;16,46;0,00;0,00;8,50;3,49;;;;;;;;;;;;;;;
411370;Londrina;PR;13;9;-4; 	553.393 ;SANEPAR;99,99;0,50;100,00;0,50;99,99;1,25;99,99;1,25;89,23;2,50;296,32;1203,87;24,61;0,53; 	1.096 ; 	1.114 ;98,38;0,49; 	3.568 ; 	3.568 ; 	100,00 ;1,00;39,59;0,19;36,43;0,00;0,00;34,90;0,21;32,50;0,00;0,00;8,43;3,65;;;;;;;;;;;;;;;
411990;Ponta Grossa;PR;14;7;-7; 	341.130 ;SANEPAR;99,99;0,50;100,00;0,50;99,99;1,25;99,99;1,25;86,71;2,50;109,16;570,56;19,13;0,41; 	3.873 ; 	3.885 ;99,68;0,50; 	4.102 ; 	4.102 ; 	100,00 ;1,00;23,78;0,32;22,66;0,00;0,00;40,29;0,19;39,19;0,00;0,00;8,41;3,43;;;;;;;;;;;;;;;
261110;Petrolina;PE;15;35;20; 	337.683 ;COMPESA;100,00;0,50;100,00;0,50;71,73;0,91;96,19;1,23;67,81;1,83;159,93;346,26;46,19;1,00; 	7.382 ; 	7.382 ;100,00;0,50; 	6.805 ; 	28.554 ; 	23,83 ;1,00;30,40;0,25;31,97;4,94;0,25;39,97;0,19;44,02;9,19;0,25;8,40;3,41;;;;;;;;;;;;;;;
353870;Piracicaba;SP;16;16;0; 	394.419 ;SEMAE;100,00;0,50;100,00;0,50;100,00;1,25;100,00;1,25;100,00;2,50;224,86;815,35;27,58;0,59; 	5.277 ; 	5.277 ;100,00;0,50; 	5.203 ; 	5.203 ; 	100,00 ;1,00;52,62;0,14;50,69;0,00;0,00;55,59;0,13;54,43;0,00;0,00;8,37;3,26;;;;;;;;;;;;;;;
410690;Curitiba;PR;17;11;-6; 	1.893.997 ;SANEPAR;100,00;0,50;100,00;0,50;99,99;1,25;99,99;1,25;92,93;2,50;693,76;4148,05;16,73;0,36; 	5.908 ; 	5.908 ;100,00;0,50; 	11.036 ; 	11.036 ; 	100,00 ;1,00;29,06;0,26;28,45;0,00;0,00;39,46;0,19;39,11;0,00;0,00;8,31;3,70;;;;;;;;;;;;;;;
350950;Campinas;SP;18;17;-1; 	1.173.370 ;SANASA;97,85;0,49;99,60;0,50;90,87;1,16;92,46;1,18;67,98;2,12;551,41;3579,25;15,41;0,33; 	8.170 ; 	16.228 ;50,35;0,25; 	15.983 ; 	42.709 ; 	37,42 ;1,00;12,56;0,50;11,33;0,00;0,25;21,59;0,35;20,79;0,00;0,00;8,13;4,67;;;;;;;;;;;;;;;
330330;Niterói;RJ;19;19;0; 	497.883 ;CAN;100,00;0,50;100,00;0,50;94,78;1,21;94,78;1,21;100,00;2,42;158,77;1832,06;8,67;0,19; 	638 ; 	638 ;100,00;0,50; 	569 ; 	3.256 ; 	17,47 ;1,00;20,03;0,37;18,60;0,00;0,00;33,10;0,23;31,26;0,00;0,00;8,12;4,52;;;;;;;;;;;;;;;
352590;Jundiaí;SP;20;15;-5; 	405.740 ;DAE;98,23;0,49;99,50;0,50;98,23;1,25;99,50;1,25;100,00;2,50;235,30;1155,17;20,37;0,44; 	1.776 ; 	3.830 ;46,37;0,23; 	1.738 ; 	1.738 ; 	100,00 ;1,00;33,67;0,22;28,29;0,00;0,00;42,08;0,18;37,50;0,00;0,00;8,06;3,68;;;;;;;;;;;;;;;
